[2025-10-18T21:35:27.175+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-18T21:35:27.436+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: jobs_jobspy_daily.collect_jobspy manual__2025-10-18T21:35:23.884928+00:00 [queued]>
[2025-10-18T21:35:27.493+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: jobs_jobspy_daily.collect_jobspy manual__2025-10-18T21:35:23.884928+00:00 [queued]>
[2025-10-18T21:35:27.496+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-10-18T21:35:27.598+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): collect_jobspy> on 2025-10-18 21:35:23.884928+00:00
[2025-10-18T21:35:27.626+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=3880) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-18T21:35:27.620+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'jobs_jobspy_daily', 'collect_jobspy', 'manual__2025-10-18T21:35:23.884928+00:00', '--job-id', '87', '--raw', '--subdir', 'DAGS_FOLDER/jobs_jobspy_daily.py', '--cfg-path', '/tmp/tmp0k8o2wfu']
[2025-10-18T21:36:55.465+0000] {subprocess.py:93} INFO - [OK] 55 rows for '(all)' @ Tours (france)
[2025-10-18T21:36:57.035+0000] {subprocess.py:93} INFO - [OK] 70 rows for '(all)' @ Orléans (france)
[2025-10-18T21:36:58.342+0000] {subprocess.py:93} INFO - [OK] 58 rows for '(all)' @ Metz (france)
[2025-10-18T21:36:59.917+0000] {subprocess.py:93} INFO - [OK] 55 rows for '(all)' @ Besançon (france)
[2025-10-18T21:37:02.267+0000] {subprocess.py:93} INFO - [OK] 83 rows for '(all)' @ Rouen (france)
[2025-10-18T21:37:03.116+0000] {subprocess.py:93} INFO - [OK] 26 rows for '(all)' @ Perpignan (france)
[2025-10-18T21:37:06.088+0000] {subprocess.py:93} INFO - [OK] 103 rows for 'ingénieur' @ France (france)
[2025-10-18T21:37:06.312+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'ingénieur' @ Remote (france)
[2025-10-18T21:37:07.668+0000] {subprocess.py:93} INFO - [OK] 31 rows for 'ingénieur' @ Paris (france)
[2025-10-18T21:37:08.397+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'ingénieur' @ Lyon (france)
[2025-10-18T21:37:09.150+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'ingénieur' @ Marseille (france)
[2025-10-18T21:37:09.618+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'ingénieur' @ Toulouse (france)
[2025-10-18T21:37:10.209+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'ingénieur' @ Lille (france)
[2025-10-18T21:37:10.727+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'ingénieur' @ Bordeaux (france)
[2025-10-18T21:37:11.306+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'ingénieur' @ Nantes (france)
[2025-10-18T21:37:11.863+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'ingénieur' @ Strasbourg (france)
[2025-10-18T21:37:12.475+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'ingénieur' @ Montpellier (france)
[2025-10-18T21:37:12.921+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'ingénieur' @ Rennes (france)
[2025-10-18T21:37:13.396+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'ingénieur' @ Nice (france)
[2025-10-18T21:37:13.928+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'ingénieur' @ Grenoble (france)
[2025-10-18T21:37:14.143+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'ingénieur' @ Reims (france)
[2025-10-18T21:37:14.681+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'ingénieur' @ Le Havre (france)
[2025-10-18T21:37:15.461+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'ingénieur' @ Saint-Étienne (france)
[2025-10-18T21:37:16.408+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'ingénieur' @ Toulon (france)
[2025-10-18T21:37:16.647+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'ingénieur' @ Dijon (france)
[2025-10-18T21:37:17.403+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'ingénieur' @ Angers (france)
[2025-10-18T21:37:18.138+0000] {subprocess.py:93} INFO - [OK] 6 rows for 'ingénieur' @ Nîmes (france)
[2025-10-18T21:37:18.368+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'ingénieur' @ Clermont-Ferrand (france)
[2025-10-18T21:37:19.159+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'ingénieur' @ Aix-en-Provence (france)
[2025-10-18T21:37:19.620+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'ingénieur' @ Brest (france)
[2025-10-18T21:37:20.074+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'ingénieur' @ Tours (france)
[2025-10-18T21:37:20.642+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'ingénieur' @ Orléans (france)
[2025-10-18T21:37:21.310+0000] {subprocess.py:93} INFO - [OK] 5 rows for 'ingénieur' @ Metz (france)
[2025-10-18T21:37:21.926+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'ingénieur' @ Besançon (france)
[2025-10-18T21:37:22.426+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'ingénieur' @ Rouen (france)
[2025-10-18T21:37:22.872+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'ingénieur' @ Perpignan (france)
[2025-10-18T21:37:23.865+0000] {subprocess.py:93} INFO - [OK] 17 rows for 'développeur' @ France (france)
[2025-10-18T21:37:24.109+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Remote (france)
[2025-10-18T21:37:24.734+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'développeur' @ Paris (france)
[2025-10-18T21:37:25.271+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'développeur' @ Lyon (france)
[2025-10-18T21:37:25.973+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'développeur' @ Marseille (france)
[2025-10-18T21:37:26.211+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Toulouse (france)
[2025-10-18T21:37:26.980+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'développeur' @ Lille (france)
[2025-10-18T21:37:27.595+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'développeur' @ Bordeaux (france)
[2025-10-18T21:37:28.066+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'développeur' @ Nantes (france)
[2025-10-18T21:37:28.311+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Strasbourg (france)
[2025-10-18T21:37:28.581+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Montpellier (france)
[2025-10-18T21:37:28.811+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Rennes (france)
[2025-10-18T21:37:29.229+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'développeur' @ Nice (france)
[2025-10-18T21:37:29.528+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Grenoble (france)
[2025-10-18T21:37:29.799+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Reims (france)
[2025-10-18T21:37:30.171+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Le Havre (france)
[2025-10-18T21:37:30.905+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'développeur' @ Saint-Étienne (france)
[2025-10-18T21:37:31.560+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'développeur' @ Toulon (france)
[2025-10-18T21:37:31.802+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Dijon (france)
[2025-10-18T21:37:32.271+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'développeur' @ Angers (france)
[2025-10-18T21:37:32.549+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Nîmes (france)
[2025-10-18T21:37:32.771+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Clermont-Ferrand (france)
[2025-10-18T21:37:34.160+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'développeur' @ Aix-en-Provence (france)
[2025-10-18T21:37:34.430+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Brest (france)
[2025-10-18T21:37:34.839+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'développeur' @ Tours (france)
[2025-10-18T21:37:35.251+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'développeur' @ Orléans (france)
[2025-10-18T21:37:35.514+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Metz (france)
[2025-10-18T21:37:35.753+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Besançon (france)
[2025-10-18T21:37:35.984+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Rouen (france)
[2025-10-18T21:37:36.235+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'développeur' @ Perpignan (france)
[2025-10-18T21:37:39.247+0000] {subprocess.py:93} INFO - [OK] 105 rows for 'technicien' @ France (france)
[2025-10-18T21:37:39.743+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'technicien' @ Remote (france)
[2025-10-18T21:37:40.971+0000] {subprocess.py:93} INFO - [OK] 27 rows for 'technicien' @ Paris (france)
[2025-10-18T21:37:41.512+0000] {subprocess.py:93} INFO - [OK] 8 rows for 'technicien' @ Lyon (france)
[2025-10-18T21:37:42.086+0000] {subprocess.py:93} INFO - [OK] 6 rows for 'technicien' @ Marseille (france)
[2025-10-18T21:37:42.607+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'technicien' @ Toulouse (france)
[2025-10-18T21:37:43.128+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'technicien' @ Lille (france)
[2025-10-18T21:37:43.664+0000] {subprocess.py:93} INFO - [OK] 5 rows for 'technicien' @ Bordeaux (france)
[2025-10-18T21:37:44.111+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'technicien' @ Nantes (france)
[2025-10-18T21:37:44.483+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'technicien' @ Strasbourg (france)
[2025-10-18T21:37:44.932+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'technicien' @ Montpellier (france)
[2025-10-18T21:37:45.544+0000] {subprocess.py:93} INFO - [OK] 7 rows for 'technicien' @ Rennes (france)
[2025-10-18T21:37:45.971+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'technicien' @ Nice (france)
[2025-10-18T21:37:46.492+0000] {subprocess.py:93} INFO - [OK] 9 rows for 'technicien' @ Grenoble (france)
[2025-10-18T21:37:46.902+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'technicien' @ Reims (france)
[2025-10-18T21:37:47.861+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'technicien' @ Le Havre (france)
[2025-10-18T21:37:48.349+0000] {subprocess.py:93} INFO - [OK] 8 rows for 'technicien' @ Saint-Étienne (france)
[2025-10-18T21:37:48.862+0000] {subprocess.py:93} INFO - [OK] 5 rows for 'technicien' @ Toulon (france)
[2025-10-18T21:37:49.229+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'technicien' @ Dijon (france)
[2025-10-18T21:37:49.847+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'technicien' @ Angers (france)
[2025-10-18T21:37:50.638+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'technicien' @ Nîmes (france)
[2025-10-18T21:37:51.105+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'technicien' @ Clermont-Ferrand (france)
[2025-10-18T21:37:51.573+0000] {subprocess.py:93} INFO - [OK] 6 rows for 'technicien' @ Aix-en-Provence (france)
[2025-10-18T21:37:51.809+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'technicien' @ Brest (france)
[2025-10-18T21:37:52.273+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'technicien' @ Tours (france)
[2025-10-18T21:37:52.907+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'technicien' @ Orléans (france)
[2025-10-18T21:37:53.359+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'technicien' @ Metz (france)
[2025-10-18T21:37:53.751+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'technicien' @ Besançon (france)
[2025-10-18T21:37:54.125+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'technicien' @ Rouen (france)
[2025-10-18T21:37:54.336+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'technicien' @ Perpignan (france)
[2025-10-18T21:37:55.087+0000] {subprocess.py:93} INFO - [OK] 18 rows for 'consultant' @ France (france)
[2025-10-18T21:37:55.307+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Remote (france)
[2025-10-18T21:37:55.917+0000] {subprocess.py:93} INFO - [OK] 14 rows for 'consultant' @ Paris (france)
[2025-10-18T21:37:56.290+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'consultant' @ Lyon (france)
[2025-10-18T21:37:56.521+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Marseille (france)
[2025-10-18T21:37:56.744+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Toulouse (france)
[2025-10-18T21:37:56.930+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Lille (france)
[2025-10-18T21:37:57.175+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Bordeaux (france)
[2025-10-18T21:37:57.397+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Nantes (france)
[2025-10-18T21:37:57.585+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Strasbourg (france)
[2025-10-18T21:37:57.976+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'consultant' @ Montpellier (france)
[2025-10-18T21:37:58.192+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Rennes (france)
[2025-10-18T21:37:58.436+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Nice (france)
[2025-10-18T21:37:58.642+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Grenoble (france)
[2025-10-18T21:37:58.846+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Reims (france)
[2025-10-18T21:37:59.058+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Le Havre (france)
[2025-10-18T21:37:59.551+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'consultant' @ Saint-Étienne (france)
[2025-10-18T21:37:59.871+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Toulon (france)
[2025-10-18T21:38:00.139+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Dijon (france)
[2025-10-18T21:38:00.458+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Angers (france)
[2025-10-18T21:38:00.930+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'consultant' @ Nîmes (france)
[2025-10-18T21:38:01.166+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Clermont-Ferrand (france)
[2025-10-18T21:38:01.380+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Aix-en-Provence (france)
[2025-10-18T21:38:01.606+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Brest (france)
[2025-10-18T21:38:01.792+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Tours (france)
[2025-10-18T21:38:02.044+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Orléans (france)
[2025-10-18T21:38:02.222+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'consultant' @ Metz (france)
