[2025-10-18T21:09:56.105+0000] {subprocess.py:93} INFO - [OK] 5 rows for 'architect' @ Remote (canada)
[2025-10-18T21:09:56.954+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'architect' @ Paris (france)
[2025-10-18T21:09:57.624+0000] {subprocess.py:93} INFO - [OK] 5 rows for 'architect' @ Paris (canada)
[2025-10-18T21:09:58.313+0000] {subprocess.py:93} INFO - [OK] 12 rows for 'architect' @ Lyon (france)
[2025-10-18T21:09:58.594+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'architect' @ Lyon (canada)
[2025-10-18T21:10:00.527+0000] {subprocess.py:93} INFO - [OK] 61 rows for 'cloud' @ France (france)
[2025-10-18T21:10:00.856+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'cloud' @ France (canada)
[2025-10-18T21:10:01.095+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'cloud' @ Remote (france)
[2025-10-18T21:10:01.969+0000] {subprocess.py:93} INFO - [OK] 10 rows for 'cloud' @ Remote (canada)
[2025-10-18T21:10:02.840+0000] {subprocess.py:93} INFO - [OK] 17 rows for 'cloud' @ Paris (france)
[2025-10-18T21:10:04.059+0000] {subprocess.py:93} INFO - [OK] 7 rows for 'cloud' @ Paris (canada)
[2025-10-18T21:10:05.198+0000] {subprocess.py:93} INFO - [OK] 17 rows for 'cloud' @ Lyon (france)
[2025-10-18T21:10:05.602+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'cloud' @ Lyon (canada)
[2025-10-18T21:10:07.311+0000] {subprocess.py:93} INFO - [OK] 37 rows for 'ai' @ France (france)
[2025-10-18T21:10:07.841+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'ai' @ France (canada)
[2025-10-18T21:10:08.290+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'ai' @ Remote (france)
[2025-10-18T21:10:09.573+0000] {subprocess.py:93} INFO - [OK] 8 rows for 'ai' @ Remote (canada)
[2025-10-18T21:10:11.105+0000] {subprocess.py:93} INFO - [OK] 18 rows for 'ai' @ Paris (france)
[2025-10-18T21:10:12.111+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'ai' @ Paris (canada)
[2025-10-18T21:10:13.506+0000] {subprocess.py:93} INFO - [OK] 5 rows for 'ai' @ Lyon (france)
[2025-10-18T21:10:14.188+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'ai' @ Lyon (canada)
[2025-10-18T21:10:18.864+0000] {subprocess.py:93} INFO - [OK] 23 rows for 'data' @ France (france)
[2025-10-18T21:10:19.538+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'data' @ France (canada)
[2025-10-18T21:10:20.131+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'data' @ Remote (france)
[2025-10-18T21:10:21.277+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'data' @ Remote (canada)
[2025-10-18T21:10:23.325+0000] {subprocess.py:93} INFO - [OK] 12 rows for 'data' @ Paris (france)
[2025-10-18T21:10:26.471+0000] {subprocess.py:93} INFO - [OK] 13 rows for 'data' @ Paris (canada)
[2025-10-18T21:10:27.173+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'data' @ Lyon (france)
[2025-10-18T21:10:27.510+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'data' @ Lyon (canada)
[2025-10-18T21:10:28.381+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'hr' @ France (france)
[2025-10-18T21:10:28.974+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'hr' @ France (canada)
[2025-10-18T21:10:29.594+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'hr' @ Remote (france)
[2025-10-18T21:10:30.406+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'hr' @ Remote (canada)
[2025-10-18T21:10:31.292+0000] {subprocess.py:93} INFO - [OK] 5 rows for 'hr' @ Paris (france)
[2025-10-18T21:10:32.316+0000] {subprocess.py:93} INFO - [OK] 14 rows for 'hr' @ Paris (canada)
[2025-10-18T21:10:32.768+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'hr' @ Lyon (france)
[2025-10-18T21:10:33.034+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'hr' @ Lyon (canada)
[2025-10-18T21:10:37.147+0000] {subprocess.py:93} INFO - [OK] 150 rows for 'finance' @ France (france)
[2025-10-18T21:10:37.457+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'finance' @ France (canada)
[2025-10-18T21:10:37.657+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'finance' @ Remote (france)
[2025-10-18T21:10:37.958+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'finance' @ Remote (canada)
[2025-10-18T21:10:39.684+0000] {subprocess.py:93} INFO - [OK] 46 rows for 'finance' @ Paris (france)
[2025-10-18T21:10:40.467+0000] {subprocess.py:93} INFO - [OK] 11 rows for 'finance' @ Paris (canada)
[2025-10-18T21:10:41.328+0000] {subprocess.py:93} INFO - [OK] 26 rows for 'finance' @ Lyon (france)
[2025-10-18T21:10:41.628+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'finance' @ Lyon (canada)
[2025-10-18T21:10:44.645+0000] {subprocess.py:93} INFO - [OK] 123 rows for 'marketing' @ France (france)
[2025-10-18T21:10:44.956+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'marketing' @ France (canada)
